hindi,english
क्षमा,pardon
पिछले,last
मारने,Kill
रहते,Live
वादा,promise
राजा,King
इंतजार,Waiting
उनकी,His
सुबह,Morning
सिर,head
नए,New
विचार,thought
दोस्तों,Friends
योजना,Plan
प्राप्त,Received
घंटे,hours
खुश,Happy
अंत,the ending
करती,Do
करेगा,Will do
थोड़ा,little
सम्मान,Respect
आदेश,Order
पूरे,Full
अलग,different
उम्मीद,Hope
आर,R
पाने,Get
औरत,women
इतनी,So much
लड़के,Boys
गिर,Gir
संगीत,music
रास्ता,way
युद्ध,war
रास्ते,Way
हमारा,Our
जारी,Ongoing
मन,Mind
लड़ाई,War
डाला,Pouring
शुक्रिया,Thanks
मुश्किल,Difficult
आराम,rest
चुका,Reproach
प्रिय,Dear
झूठ,lies
बंदूक,gun
खुशी,Happiness
नरक,hell
आशा,Hope
चुप,Mute
उपयोग,Use
सवाल,Question
आपने,You
वैसे,By the way
देश,Country
रखो,Please Keep
असली,the original
बड़ी,Big
जैसा,as
सुन,Listen
हाय,Hi!
चोट,injury
रखा,kept
मौत,Death
पापा,Father
पर्याप्त,enough
पुरुषों,Men
शांत,quiet
पुराने,Old
हंसते,Laughing
सा,Like
दें,Give
पकड़,grasp
बहन,Sister
सामने,front
सुरक्षा,Security
खाने,Eating
खाना,eat
चाचा,uncle
बन,become
अमेरिका,America
परेशान,Worried
बच्चा,baby
सी,C
जवाब,answer
सेना,army
आसान,Easy
पैसा,Money
ऐसे,This way
महीने,Month
रखने,Keep
छोटी,Small
अलविदा,Bye
कदम,Step
अगले,Next
भाग,Part
नमस्ते,Greetings!
सारे,all
लंबे,Long
देते,Giving
कॉल,Call
छोटा,small
भाड़,Screw
बनाया,Make
हमने,We
स्थिति,Situation
इस्तेमाल,Use
परवाह,Care
कैसा,How?
होती,Happiness
गलती,Mistake
राम,Ram
नष्ट,Destroyed
स्वागत,Welcome
अजीब,Weird
रह,Stay
व्यक्ति,person
मूर्ख,Idiot
तुम्हे,you
सिकंदर,Alexander
मै,I
मालिक,master
गंदगी,Dirt
रखें,Keep
नौकरी,job
हांक,Hank
जीत,Victory
कंपनी,company
लेंगे,Will take
चारों,All four
तस्वीर,Photo
रहता,Live
कहानी,Story
खड़े,Stand -up
रोक,Stop
बातें,Things
अकेले,Lonely
किस,What
साफ,clean
िलए,For
मौका,opportunity
भरोसा,Reliance
चिल्ला,Shout
जहाँ,Where
कसम,promise
सारा,All
करीब,near
जान,Life
तुलना,comparison
इतने,So much
कब,When
यात्रा,Travel
हमला,assault
रक्षा,Defense
पाया,had got
जल्द,Soon
पति,husband
गयी,Gone
जहाज,ship
बेबी,Baby
हवा,Air
आती,Come
दरवाजा,Door
जाएगी,Will go
कहता,Say
स्कॉट,Scott
मिलेगा,will get
मां,Mother
वाली,Wali
वजह,Reason
महत्वपूर्ण,important
जय,Victory
अकेला,alone
सामान,Belongings
सो,s / o
रख,Keep
शामिल,Involved
नया,new
मिलने,Meet
निश्चित,sure
करनी,Do
स्कूल,school
जेल,Jail
तरफ,Side
बड़े,elder
पल,Moment
अंतिम,The last
ब्रायन,Brian
पैदा,Born
